Item Type,Revenue,Cost,Profit,Units_Sold,Profit Margin %
Cosmetics,36601509.6,22045460.939999998,14556048.66,83718,39.76898444647758
Household,29889712.29,22477106.580000002,7412605.71,44727,24.7998563454891
Office Supplies,30585380.07,24655796.32,5929583.75,46967,19.386987300563565
Clothes,7787292.8,2553958.4,5233334.399999999,71260,67.20351390922401
Baby Food,10350327.6,6463683.9,3886643.7,40545,37.550924475086184
Cereal,5322898.9,3030455.4699999997,2292443.4299999997,25877,43.06757413709285
Vegetables,3089057.06,1823237.43,1265819.63,20051,40.97754121770738
Personal Care,3980904.84,2760282.36,1220622.48,48708,30.661935641747217
Beverages,2690794.6,1802747.3199999998,888047.28,56708,33.00316122233931
Snacks,2080733.46,1328789.28,751944.18,13637,36.13841918993315
Meat,4503675.75,3893065.75,610610.0,10675,13.558036455000119
Fruits,466481.34,345986.16000000003,120495.18,49998,25.830653804930332
